EPTS_person_attribute_type_id,EPTS_name,EPTS_uuid,EPTS_description,POC_person_attribute_type_id,POC_name,POC_description,POC_Format,Conept_id,POC_uuid,,,,,,,
2,Local de Nascimento,8d8718c2-c2cc-11de-8d13-0010c6dffd0f,Location of persons birth,,,,,,,,,,,,,
3,Nacionalidade,8d871afc-c2cc-11de-8d13-0010c6dffd0f,Country of which this person is a member,71,NATIONALITY,REGISTRATION_LABEL_NATIONALITY,org.openmrs.Concept,8030,d3f6f41c-b094-4840-b99c-f4c10e25efac,,,,,,,
4,Nome da Mae,8d871d18-c2cc-11de-8d13-0010c6dffd0f,First or last name of this person's mother,37,MOTHER_NAME,NULL,java.lang.String,NULL,2d308bae-7e2c-11e9-8f9e-2a86e4085a59,,,,,,,
5,Estado Civil,8d871f2a-c2cc-11de-8d13-0010c6dffd0f,Marriage status of this person,43,MARITAL_STATUS,Estado Civil,org.openmrs.Concept,7902,3fa3c7b2-1105-4eec-8fcd-7f76c6a81516,,,,,,,
6,Health District,8d872150-c2cc-11de-8d13-0010c6dffd0f,District/region in which this patient' home health center resides,30,HEALTH_FACILITY_DISTRICT,NULL,java.lang.String,NULL,e11bf075-ed53-49d2-a80b-ae531cff6903,,,,,,,
7,Health Center,8d87236c-c2cc-11de-8d13-0010c6dffd0f,Specific Location of this person's home health center.,29,HEALTH_FACILITY_NAME,NULL,java.lang.String,NULL,a467629f-8800-4535-a962-91ef7fddc047,,,,,,,
8,District,e2e3fc10-1d5f-11e0-b929-000c29ad1d07,,,,,,,,,,,,,,
9,Numero de Telefone,e2e3fd64-1d5f-11e0-b929-000c29ad1d07,Telefone de contacto do paciente,58,PRIMARY_CONTACT_NUMBER_1,Contacto Principal,java.lang.String,NULL,5d157528-14ae-4e71-9d48-f4122c7b12f7,,,,,,,
10,Organização,e2e3feae-1d5f-11e0-b929-000c29ad1d07,"affiliation, used for providers, social assistants",,,,,,,,,,,,,
11,Local de Trabalho,e2e3fff8-1d5f-11e0-b929-000c29ad1d07,Lugar onde a pessoa trabalha,,,,,,,,,,,,,
12,Número de Cartão,e2e40142-1d5f-11e0-b929-000c29ad1d07,Número do cartão do paciente no serviço TARV ou outro serviço crónico,,,,,,,,,,,,,
13,Pessoa de referencia,4d9d4863-6637-4aba-a907-f2e60f5be9c0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,